OA11CD,easting,northing
E00000074,549230.279,185650.265
E00000125,546570.663,185882.048
E00000075,548746.506,185632.539
E00000122,546980.948,185956.328
E00000072,548904.723,185681.526
E00000123,547391.605,185928.67
E00000073,549084.019,185695.987
E00000120,547105.322,186114.897
E00000070,549341.12,185641.466
E00000121,546754.429,185801.719
E00000071,549404.711,185102.372
E00000128,547234.899,185646.167
E00000078,548837.78,185531.91
E00000129,546859.207,185657.993
E00000079,549264.491,185396.078
E00000306,548898.81,186318.548
E00000387,547545.675,184585.74
E00000256,544511.014,183664.724
E00000566,548570.776,188140.484
E00000307,549799.919,186199.057
E00000386,547399.804,184741.811
E00000257,544868.527,183689.651
E00000567,548578.119,187913.181
E00000304,549205.829,186324.885
E00000385,546697.733,184713.958
E00000254,544579.34,183588.01
E00000564,548925.903,188097.382
E00000305,549316.198,186958.973
E00000384,546822.311,184889.835
E00000255,545098.968,183752.639
E00000565,548714.984,187946.175
E00000302,548769.821,186379.881
E00000383,547212.856,184701.764
E00000252,545030.527,183707.824
E00000562,548862.308,188352.881
E00000303,548697.29,186480.34
E00000382,546942.71,184924.152
E00000345,545345.819,184644.707
E00000342,545102.046,184749.666
E00000340,545216.531,184865.127
E00000341,546143.275,184956.073
E00000348,545505.156,184349.149
E00000038,544541.729,184698.453
E00000039,543627.517,184666.51
E00000216,545823.673,184043.875
E00000297,547881.555,184060.136
E00000476,546498.521,183175.54
E00000526,549892.338,184569.178
E00000217,546584.229,184018.674
E00000296,547553.768,184089.039
E00000477,547004.085,183088.849
E00000527,550562.353,184588.279
E00000525,549769.127,184369.9
E00000210,546353.74,184139.341
E00000290,547366.547,184290.797
E00000404,548504.009,185534.407
E00000405,547721.416,185473.872
E00000149,548332.529,188568.055
E00000193,551157.985,186824.235
E00000551,548780.603,187485.459
E00000178,550125.104,185202.316
E00000086,548855.692,185149.957
E00000083,549137.726,185229.409
E00000351,545391.122,184398.2
E00175114,548098.865,184496.206
E00000108,547239.571,186668.866
E00000492,547924.502,186890.507
E00000338,545475.505,184970.284
E00000512,549680.376,184608.935
E00000343,545708.371,184641.637
E00000349,545995.553,184373.638
E00000914,526254.954,189504.219
E00000995,525580.781,190361.098
E00000915,527452.11,189504.453
E00000994,525033.293,190282.322
E00000912,526979.387,189573.804
E00000993,524308.882,190360.448
E00000913,526540.224,189558.842
E00000992,525516.159,190460.083
E00000910,527453.352,189590.876
E00000991,524921.23,190354.46
E00000911,527232.583,189570.432
E00000990,524770.033,190565.985
E00000918,527129.796,189386.434
E00000999,524651.938,190310.723
E00000919,527444.277,189351.974
E00000998,524006.567,190420.663
E00000776,527659.446,192182.199
E00000777,527951.394,192258.058
E00000774,528469.313,191366.742
E00000775,528141.982,190489.465
E00000772,528245.158,191544.34
E00000773,528605.173,191266.983
E00000770,528223.311,191877.783
E00000771,528049.878,191947.73
E00001076,523936.44,187579.278
E00001077,524152.675,187552.135
E00001075,524009.465,187720.835
E00001072,524000.546,187909.821
E00001073,524261.048,187856.034
E00001070,524139.091,187806.201
E00000779,527757.931,192040.622
E00001071,524601.375,187876.959
E00000726,521414.048,189390.999
E00000727,521194.984,189419.98
E00000725,521679.661,189267.048
E00001078,523503.478,187445.241
E00000722,525222.443,186257.344
E00001079,523439.628,187532.378
E00000723,521488.808,191220.308
E00000720,524644.964,186495.816
E00000721,525114.416,186302.982
E00001026,524844.563,189153.611
E00001027,526343.753,188988.724
E00001024,525888.769,189199.49
E00001025,526164.609,189134.482
E00001022,525673.849,189149.347
E00001023,525548.236,189302.084
E00000728,521581.154,189376.064
E00001020,525357.869,189290.596
E00000729,521886.406,189162.062
E00001021,525209.732,189368.512
E00000716,525000.414,186485.771
E00000797,528618.031,191012.981
E00000717,524798.426,186602.348
E00000796,528263.065,191100.589
E00000714,524058.006,186501.244
E00000795,528334.48,191240.639
E00000715,524280.934,186279.847
E00000794,528194.854,191028.433
E00001028,527168.62,189014.712
E00000712,524344.261,186604.387
E00000793,528454.822,191169.031
E00001029,525155.795,189061.609
E00000713,524884.825,186699.628
E00000792,528658.174,191353.069
E00000710,524423.605,186687.775
E00000791,528083.188,191503.42
E00000711,525095.088,186576.303
E00000790,528405.156,191637.337
E00001016,525679.261,187408.925
E00001097,524338.157,188382.171
E00001017,526506.089,187412.324
E00001096,524229.651,188780.968
E00001014,525906.343,187316.263
E00001095,524658.601,188930.327
E00001015,526548.759,188087.757
E00001094,524267.268,188789.007
E00001012,526157.396,188204.147
E00001093,524439.246,189008.409
