startid,endid,edist,footdistkm,bikedistkm,cardistkm
E00009219,E00009215,0.21712378532064364,0.279385,0.5471849999999999,0.5438500000000001
E00176244,E00008889,0.21865949805572155,0.269353,0.4562,1.985381
E00176329,E00008902,0.22414725758973017,0.279703,0.540762,0.540717
E00176329,E00008874,0.22464593872361316,0.268464,0.268464,0.268464
E00176218,E00009056,0.225658112872114,0.32462599999999997,0.32462599999999997,0.32462599999999997
E00176231,E00176230,0.22637427950188554,0.31769400000000003,0.31769400000000003,0.471194
E00008615,E00176335,0.22870637632128324,0.322326,0.390075,0.322325
E00176329,E00008881,0.23073716117043203,0.30829199999999995,0.318486,0.415957
E00009219,E00009216,0.23283233443190424,0.456754,0.676203,0.22387
E00176227,E00008940,0.2343626640785713,0.310339,0.383021,0.4418
E00176244,E00008888,0.24708276273756166,0.274854,0.296038,1.788182
E00176218,E00008711,0.24730534825188544,0.327934,0.439094,0.441401
E00008615,E00176316,0.24860940892293315,0.411598,0.5994160000000001,0.861523
E00009219,E00009222,0.2488428083851291,0.314003,0.359849,0.773563
E00008615,E00009212,0.2503588728525013,0.353117,0.362509,1.182413
E00008615,E00008642,0.25089761924138104,0.275217,0.275217,0.36727699999999996
E00008615,E00009208,0.2509337957010891,0.34386099999999997,0.34386099999999997,0.964515
E00176218,E00009048,0.25118887931598144,0.355024,0.355024,0.379436
E00009219,E00009203,0.25234866773770126,0.5837100000000001,0.69486,1.120379
E00008892,E00008888,0.253883992488699,0.40518099999999996,0.426365,1.9182460000000001
E00008615,E00008624,0.2628858271664652,0.345705,0.330792,1.3539919999999999
E00176218,E00009067,0.26373215838988967,0.31633,0.31633,0.316164
E00176218,E00008689,0.2654272893919724,0.39776,0.39776,0.39776
E00009168,E00009175,0.26815845168113167,0.416099,0.416099,0.41593
E00176227,E00008921,0.26976961738668775,0.382709,0.40592500000000004,0.88925
E00009219,E00009196,0.27068889129956336,0.40318400000000004,0.514334,1.2066400000000002
E00008938,E00008921,0.27724642191558263,0.324365,0.324365,1.301949
E00008892,E00008905,0.27759388956167247,0.396082,0.417266,1.859278
E00009168,E00009169,0.27865099046125225,0.394558,0.438968,0.438798
E00009219,E00176326,0.2816139582780004,0.474483,0.848577,0.872402
E00176227,E00008906,0.2820883415545114,0.500294,0.52351,0.8558600000000001
E00009219,E00009210,0.2835014713260193,0.439691,0.65249,1.114663
E00176218,E00008710,0.2881442316566537,0.347382,0.347382,0.347382
E00176329,E00008900,0.28882464685170595,0.382728,0.433231,0.659988
E00176329,E00008905,0.2908599586089775,0.400846,0.511066,0.864324
E00008615,E00008641,0.2922799871390067,0.39728600000000003,0.39728600000000003,0.39728600000000003
E00176218,E00008685,0.2924267404342609,0.36717700000000003,0.425017,0.375937
E00176329,E00008888,0.29309314158126026,0.507655,0.696587,0.9232910000000001
E00008938,E00008937,0.2942485958181766,0.438641,0.436999,1.470728
E00176218,E00009051,0.30335582953356865,0.35372000000000003,0.35372000000000003,0.518241
E00176231,E00008907,0.3055982391392365,0.47343999999999997,0.473706,1.306824
E00176231,E00008919,0.3073153353088821,0.421829,0.421829,2.76014
E00008615,E00008612,0.3093248869538317,0.412248,0.506069,0.5234800000000001
E00176218,E00009050,0.3102897822439512,0.42536,0.428647,0.425356
E00176231,E00008937,0.3126825932810413,0.521923,0.521923,1.350837
E00009168,E00009158,0.3134062986683001,0.459214,0.537548,0.537379
E00176244,E00008877,0.31626132330403806,0.33032,0.33032,0.33061799999999997
E00009219,E00008624,0.3177078974859345,0.390019,0.595742,1.4355740000000001
E00008615,E00009214,0.3186683254310023,0.417851,0.525634,1.624123
E00176329,E00008877,0.3212286702925816,0.537586,0.6026710000000001,1.080245
E00176218,E00176265,0.32226281425102865,0.476988,0.476988,0.530142
E00008938,E00008907,0.3232132233758849,0.555155,0.5935940000000001,1.426715
E00176227,E00008919,0.3240622213649876,0.50022,0.623278,2.467332
E00008938,E00009190,0.3243576991563594,0.440484,0.440484,0.87542
E00009168,E00009187,0.32479314897329686,0.425753,0.937641,0.994004
E00176218,E00008687,0.32485009278895943,0.452955,0.45400599999999997,0.45400599999999997
E00008615,E00009205,0.3290471866282432,0.516362,0.516362,0.516362
E00008938,E00176230,0.3297894880374548,0.437583,0.437583,0.5910839999999999
E00176329,E00008872,0.3300736270107583,0.411812,0.422006,0.42200299999999996
E00008938,E00009192,0.3308308308153785,0.45630000000000004,0.454658,1.582002
E00176244,E00008904,0.3370755489500671,0.40446899999999997,0.425653,1.68865
E00008615,E00008939,0.33823928762491223,0.541089,0.541089,0.541089
E00176329,E00008896,0.3384481517751444,0.410879,0.672059,0.865244
E00008615,E00008622,0.3387821715394621,0.5590660000000001,0.822505,0.880531
E00008615,E00009213,0.339068243756359,0.44991000000000003,0.442111,1.429501
E00009219,E00008617,0.33914886740916483,0.430153,0.5762480000000001,1.415778
E00176329,E00008895,0.3412064365747068,0.45663600000000004,0.52024,0.565787
E00008892,E00008890,0.34229182368269645,0.637626,0.733876,1.958939
E00176231,E00008928,0.34388165846407065,0.459677,0.459677,1.435239
E00176231,E00008930,0.34413419620983493,0.493121,0.493121,1.322115
E00008892,E00008891,0.34520660543502824,0.557978,0.6542279999999999,1.879291
E00176329,E00008882,0.34772975604051676,0.451718,0.769928,0.769885
E00008892,E00008904,0.349033210024433,0.534796,0.55598,1.818713
E00009219,E00008619,0.35395029775518955,0.569842,0.68514,1.4675619999999998
E00009168,E00009160,0.35571724957475626,0.48245699999999997,0.8546130000000001,0.9838600000000001
E00009219,E00008618,0.356330365864328,0.8704109999999999,0.981561,1.653703
E00176329,E00008899,0.36150270541861745,0.45899,0.509493,0.541019
E00008615,E00008646,0.37055734231024656,0.496647,0.5098779999999999,0.553951
E00009168,E00009223,0.3713656687430792,0.5946140000000001,0.962157,0.976417
E00176218,E00009058,0.3730359399053305,0.5340710000000001,0.5340710000000001,0.5340710000000001
E00008938,E00009205,0.37328070808443276,0.490896,0.489254,1.617132
E00176218,E00008708,0.37630458504382713,0.491152,0.494359,0.552596
E00176218,E00009064,0.38042653255786707,0.5818450000000001,0.5731459999999999,0.573106
E00009219,E00009199,0.3808278916794695,0.528639,0.528639,0.525331
E00176329,E00008891,0.38141535422159933,0.42997199999999997,0.691152,0.884337
E00009168,E00009176,0.3815378240555581,0.48724,0.507686,0.5075149999999999
E00009219,E00009218,0.3818797696657242,0.5456420000000001,0.5672569999999999,0.5639489999999999
E00176244,E00008871,0.3831822135564797,0.471591,0.48453500000000005,1.635651
E00009219,E00176268,0.3843229740335189,0.40914999999999996,0.733875,0.730567
E00008615,E00008616,0.3846353477061987,0.46513,0.46513,0.465129
E00008615,E00009218,0.3855014273384681,0.6156029999999999,0.6765800000000001,1.006979
E00008892,E00008886,0.3855498181895199,0.684015,0.8514489999999999,2.081378
E00176218,E00176287,0.3861026327312639,0.509391,0.509391,0.5076080000000001
