startid,endid,routedist
E00176218,E00008686,0.7521019999999999
E00008615,E00008611,0.636633
E00176231,E00008920,2.8407220000000004
E00009219,E00009187,0.87036
E00008892,E00008866,1.600263
E00009168,E00009215,1.4541169999999999
E00176329,E00008883,0.683256
E00008615,E00008625,0.962157
E00009168,E00176286,0.787394
E00176329,E00008901,0.683782
E00176329,E00008890,0.963985
E00009168,E00009151,0.65397400000000006
E00009219,E00009223,0.799961
E00176218,E00008723,1.432067
E00176227,E00008920,2.547913
E00009168,E00176285,1.524667
E00176244,E00008886,1.9513150000000001
E00008892,E00008879,0.835324
E00008615,E00009199,1.089366
E00008892,E00008896,1.860198
E00176329,E00008880,0.6058640000000001
E00176218,E00176259,1.583026
E00176218,E00009047,0.5626570000000001
E00008615,E00009192,0.778648
E00176218,E00009070,0.6701079999999999
E00008892,E00008887,1.620055
E00176231,E00008923,2.71054
E00176218,E00009049,0.59761
E00008615,E00008621,0.978366
E00176329,E00008898,0.626572
E00176329,E00008870,0.728733
E00176227,E00008918,2.684522
E00009219,E00009200,0.535997
E00176231,E00008918,2.977331
E00176231,E00008641,1.778687
E00008615,E00008636,0.533466
E00008615,E00009201,1.593807
E00176329,E00008889,1.120491
E00176244,E00008896,1.730135
E00009168,E00009148,0.99846
E00176227,E00009192,1.1693030000000002
E00176227,E00008926,1.150775
E00176329,E00176244,1.378897
E00176244,E00176329,1.574577
E00008615,E00008930,0.7065119999999999
E00009219,E00009205,1.161797
E00176329,E00008893,0.799572
E00176218,E00009072,0.648507
E00176218,E00176247,0.832238
E00176218,E00176322,1.559892
E00008938,E00008926,1.563474
E00009219,E00009192,1.227795
E00008938,E00009207,1.8148279999999999
E00008938,E00008641,1.8985779999999999
E00176218,E00009066,0.8037430000000001
E00176227,E00008939,1.123026
E00009219,E00008622,0.6678419999999999
E00176227,E00008923,2.417732
E00176244,E00008887,1.489992
E00008892,E00008902,1.535671
E00176227,E00009205,1.204433
E00008615,E00008628,1.4285750000000002
E00008615,E00009200,1.100032
E00176231,E00009191,1.766077
E00176329,E00176275,0.7552300000000001
E00176244,E00008902,1.405608
E00176244,E00176283,0.897598
E00176244,E00176263,0.8348110000000001
E00008615,E00009207,0.933601
E00009168,E00009172,0.837467
E00176231,E00008611,1.959338
E00176218,E00176324,0.571911
E00176218,E00176279,1.357675
E00176218,E00176325,0.6846380000000001
E00176329,E00008878,0.6787580000000001
E00176218,E00008754,1.49746
E00008615,E00009215,1.52562
E00009168,E00009199,1.091955
E00176218,E00008705,0.816172
E00176231,E00008916,2.8384169999999997
E00176244,E00008864,1.372841
E00176218,E00176221,0.7279479999999999
E00176329,E00008869,0.637084
E00176218,E00008773,0.6824260000000001
E00176329,E00176243,1.425835
E00009219,E00009188,1.3295329999999999
E00008615,E00176268,1.294602
E00176329,E00008892,1.50896
E00008892,E00176329,1.7046400000000002
E00008892,E00176234,2.494279
E00008615,E00008906,0.757691
E00009168,E00009216,1.233816
E00008615,E00008620,0.787106
E00176244,E00008875,1.519784
E00008892,E00008864,1.502905
E00176244,E00008865,1.461124
E00008615,E00009221,1.6482860000000001
E00176218,E00176302,1.007923
E00008938,E00009194,1.532613
E00176218,E00008724,1.763086
E00176329,E00008886,1.086424
E00008615,E00008610,0.947759
E00176227,E00008916,2.545609
E00009168,E00176334,0.940576
E00009168,E00009200,1.057877
E00176218,E00008772,0.7123769999999999
E00009219,E00009194,1.364752
E00009168,E00009222,1.683829
E00008938,E00176326,2.096732
E00008892,E00176263,0.964875
E00008615,E00009210,1.3051110000000001
E00009219,E00009204,1.1309760000000002
E00176218,E00009057,0.686319
E00176231,E00008634,2.339127
E00008892,E00008865,1.591187
E00009219,E00176335,1.215258
E00009168,E00009221,1.478834
E00008615,E00176285,1.59617
E00008615,E00008613,0.860479
E00008615,E00009217,1.445143
E00008938,E00008920,2.9606120000000002
E00008892,E00008895,1.560741
E00176231,E00008642,1.929269
E00008892,E00008875,1.649847
E00009168,E00009153,0.877133
E00008892,E00176283,1.0276610000000002
E00176218,E00008706,0.845554
E00009168,E00009183,1.275007
E00008938,E00008611,2.0792289999999998
E00176329,E00176245,1.4532349999999998
E00009219,E00008625,0.980897
E00008938,E00008923,2.830431
E00176218,E00009060,0.733307
E00176218,E00009045,0.886274
E00176329,E00008868,0.649375
