oa11cd,num_500m,num_1km,mindist
E00000437,0,0,1
E00000438,0,0,1
E00000439,0,0,1
E00000440,0,0,1
E00000441,0,0,1
E00000442,0,0,1
E00000443,0,0,1
E00000444,0,0,1
E00000445,0,0,1
E00000446,0,0,1
E00000447,0,0,1
E00000448,0,0,1
E00000449,0,0,1
E00000450,0,0,1
E00000451,0,0,1
E00000452,0,0,1
E00000453,0,0,1
E00000454,0,0,1
E00000455,0,0,1
E00000456,0,0,1
E00000457,0,0,1
E00000458,0,0,1
E00000459,0,0,1
E00000460,0,0,1
E00000461,0,0,1
E00000462,0,0,1
E00000463,0,0,1
E00000464,0,0,1
E00000465,0,0,1
E00000466,0,0,1
E00000467,0,0,1
E00000468,0,0,1
E00000469,0,0,1
E00000470,0,0,1
E00000471,0,0,1
E00000472,0,0,1
E00000474,0,0,1
E00000475,0,0,1
E00000476,0,0,1
E00000477,0,0,1
E00000478,0,0,1
E00000479,0,0,1
E00000480,0,0,1
E00000481,0,0,1
E00000482,0,0,1
E00000483,0,0,1
E00000484,0,0,1
E00000485,0,0,1
E00000486,0,0,1
E00000487,0,0,1
E00000488,0,0,1
E00000489,0,0,1
E00000490,0,0,1
E00000491,0,0,1
E00000492,0,0,1
E00000493,0,0,1
E00000494,0,0,1
E00000495,0,0,1
E00000496,0,0,1
E00000497,0,0,1
E00000498,0,0,1
E00000499,0,0,1
E00000500,0,0,1
E00000501,0,0,1
E00000502,0,0,1
E00000503,0,0,1
E00000504,0,0,1
E00000505,0,0,1
E00000506,0,0,1
E00000507,0,0,1
E00000508,0,0,1
E00000509,0,0,1
E00000510,0,0,1
E00000511,0,0,1
E00000512,0,0,1
E00000513,0,0,1
E00000514,0,0,1
E00000515,0,0,1
E00000516,0,0,1
E00000517,0,0,1
E00000518,0,0,1
E00000519,0,0,1
E00000520,0,0,1
E00000521,0,0,1
E00000522,0,0,1
E00000523,0,0,1
E00000524,0,0,1
E00000525,0,0,1
E00000526,0,0,1
E00000527,0,0,1
E00000528,0,0,1
E00000529,0,0,1
E00000530,0,0,1
E00000531,0,0,1
E00000532,0,0,1
E00000533,0,0,1
E00000534,0,0,1
E00000535,0,0,1
E00000536,0,0,1
E00000537,0,0,1
E00000538,0,0,1
E00000539,0,0,1
E00000540,0,0,1
E00000541,0,0,1
E00000542,0,0,1
E00000543,0,0,1
E00000544,0,0,1
E00000545,0,0,1
E00000546,0,0,1
E00000547,0,0,1
E00000548,0,0,1
E00000549,0,0,1
E00000550,0,0,1
E00000551,0,0,1
E00000552,0,0,1
E00000553,0,0,1
E00000554,0,0,1
E00000555,0,0,1
E00000556,0,0,1
E00000557,0,0,1
E00000558,0,0,1
E00000559,0,0,1
E00000560,0,0,1
E00000561,0,0,1
E00000562,0,0,1
E00000563,0,0,1
E00000564,0,0,1
E00000565,0,0,1
E00000566,0,0,1
E00000567,0,0,1
E00000568,0,0,1
E00000569,0,0,1
E00000570,0,0,1
E00000571,0,0,1
E00000572,0,0,1
E00000573,0,0,1
E00000574,0,0,1
E00000575,0,0,1
E00000576,0,0,1
E00000577,0,0,1
E00000578,0,0,1
E00000579,0,0,1
E00000580,0,0,1
E00000581,0,0,1
E00000582,0,0,1
E00000583,0,0,1
E00000584,0,0,1
E00000585,0,0,1
E00000586,0,0,1
E00000587,0,0,1
E00000588,0,0,1
E00000589,0,0,1
E00000590,0,0,1
E00000591,0,0,1
E00000592,0,0,1
E00000593,0,0,1
E00000594,0,0,1
E00000595,0,0,1
E00000596,0,0,1
E00000597,0,0,1
E00000598,0,0,1
E00000599,0,0,1
E00000600,0,0,1
E00000601,0,0,1
E00000602,0,0,1
E00000603,0,0,1
E00000604,0,0,1
E00000605,0,0,1
E00000606,0,0,1
E00000607,0,0,1
E00000608,0,0,1
E00000609,0,0,1
E00000610,0,0,1
E00000611,0,0,1
E00000612,0,0,1
E00000613,0,0,1
E00000614,0,0,1
E00000615,0,0,1
E00000616,0,0,1
E00000617,0,0,1
E00000618,0,0,1
E00000619,0,0,1
E00000620,0,0,1
E00000622,0,0,1
E00000623,0,0,1
E00000624,0,0,1
E00000625,0,0,1
E00000626,0,0,1
E00000627,0,0,1
E00000628,0,0,1
E00000629,0,0,1
E00000630,0,0,1
E00000631,0,0,1
E00000632,0,0,1
E00000633,0,0,1
E00000634,0,0,1
E00000635,0,0,1
E00000636,0,0,1
E00000637,0,0,1
E00000638,0,0,1
E00000640,0,0,1
E00000641,0,0,1
E00000642,0,0,1
E00000643,0,0,1
E00000644,0,0,1
E00000645,0,0,1
E00000646,0,0,1
E00000647,0,0,1
E00000648,0,0,1
E00000649,0,0,1
E00000650,0,0,1
E00000651,0,0,1
E00000652,0,0,1
E00000653,0,0,1
E00000654,0,0,1
E00000655,0,0,1
E00000656,0,0,1
E00000657,0,0,1
E00000658,0,0,1
E00000659,0,0,1
E00000660,0,0,1
E00000661,0,0,1
E00000662,0,0,1
E00000663,0,0,1
E00000664,0,0,1
E00000665,0,0,1
E00000666,0,0,1
E00000667,0,0,1
E00000668,0,0,1
E00000669,0,0,1
E00000670,0,0,1
E00000671,0,0,1
E00000672,0,0,1
E00000674,0,0,1
E00000675,0,0,1
E00000676,0,0,1
E00000677,0,0,1
E00000678,0,0,1
E00000679,0,0,1
E00000680,0,0,1
E00000681,0,0,1
E00000682,0,0,1
E00000683,0,0,1
E00000684,0,0,1
E00000685,0,0,1
E00000686,0,0,1
E00000687,0,0,1
E00000688,0,0,1
E00000689,0,0,1
E00000690,0,0,1
E00000691,0,0,1
E00000692,0,0,1
E00000693,0,0,1
E00000694,0,0,1
E00000695,0,0,1
E00000696,0,0,1
E00000697,0,0,1
E00000698,0,0,1
E00000699,0,0,1
E00000700,0,0,1
E00000701,0,0,1
E00000702,0,0,1
E00000703,0,0,1
E00000704,0,0,1
E00000705,0,0,1
E00000706,0,0,1
E00000707,0,0,1
E00000708,0,0,1
E00000709,0,0,1
E00000710,0,0,1
E00000711,0,0,1
E00000712,0,0,1
E00000713,0,0,1
E00000714,0,0,1
E00000715,0,0,1
E00000716,0,0,1
E00000717,0,0,1
E00000718,0,0,1
E00000719,0,0,1
E00000720,0,0,1
E00000721,0,0,1
E00000722,0,0,1
E00000723,0,0,1
E00000724,0,0,1
E00000725,0,0,1
E00000726,0,0,1
E00000727,0,0,1
E00000728,0,0,1
E00000729,0,0,1
E00000730,0,0,1
E00000731,0,0,1
E00000732,0,0,1
E00000733,0,0,1
E00000734,0,0,1
E00000736,0,0,1
E00000737,0,0,1
E00000738,0,0,1
E00000739,0,0,1
E00000740,0,0,1
E00000742,0,0,1
E00000743,0,0,1
E00000744,0,0,1
E00000745,0,0,1
E00000746,0,0,1
E00000747,0,0,1
E00000748,0,0,1
E00000749,0,0,1
E00000750,0,0,1
E00000751,0,0,1
E00000752,0,0,1
E00000754,0,0,1
E00000755,0,0,1
E00000756,0,0,1
E00000757,0,0,1
E00000758,0,0,1
E00000760,0,0,1
E00000761,0,0,1
E00000762,0,0,1
E00000763,0,0,1
E00000764,0,0,1
E00000765,0,0,1
E00000766,0,0,1
E00000767,0,0,1
E00000768,0,0,1
E00000769,0,0,1
E00000770,0,0,1
E00000771,0,0,1
E00000772,0,0,1
E00000773,0,0,1
E00000774,0,0,1
E00000775,0,0,1
E00000776,0,0,1
E00000777,0,0,1
E00000778,0,0,1
E00000779,0,0,1
E00000780,0,0,1
E00000781,0,0,1
E00000782,0,0,1
E00000783,0,0,1
E00000785,0,0,1
E00000786,0,0,1
E00000787,0,0,1
E00000788,0,0,1
E00000789,0,0,1
E00000790,0,0,1
E00000791,0,0,1
E00000792,0,0,1
E00000793,0,0,1
E00000794,0,0,1
E00000795,0,0,1
E00000796,0,0,1
E00000797,0,0,1
E00000798,0,0,1
E00000799,0,0,1
E00000800,0,0,1
E00000801,0,0,1
E00000802,0,0,1
E00000803,0,0,1
E00000804,0,0,1
E00000805,0,0,1
E00000806,0,0,1
E00000807,0,0,1
E00000808,0,0,1
E00000809,0,0,1
E00000810,0,0,1
E00000811,0,0,1
E00000812,0,0,1
E00000813,0,0,1
E00000814,0,0,1
E00000815,0,0,1
E00000816,0,0,1
E00000817,0,0,1
E00000818,0,0,1
E00000819,0,0,1
E00000820,0,0,1
E00000821,0,0,1
E00000822,0,0,1
E00000823,0,0,1
E00000824,0,0,1
E00000825,0,0,1
E00000826,0,0,1
E00000827,0,0,1
E00000828,0,0,1
E00000829,0,0,1
E00000830,0,0,1
E00000831,0,0,1
E00000832,0,0,1
E00000833,0,0,1
E00000834,0,0,1
E00000835,0,0,1
E00000836,0,0,1
E00000837,0,0,1
E00000838,0,0,1
E00000839,0,0,1
E00000840,0,0,1
E00000841,0,0,1
E00000842,0,0,1
E00000843,0,0,1
E00000844,0,0,1
E00000845,0,0,1
E00000846,0,0,1
E00000847,0,0,1
