startid,endid,edist
E00008774,42,0.07967882134612425
E00012781,70,0.07969536680857346
E00015792,215,0.07973047254260132
E00017924,165,0.07975081562093528
E00005676,346,0.0799913397126121
E00015206,368,0.08022743985843826
E00005031,359,0.08032182774763638
E00017915,173,0.08047823771206752
E00013527,140,0.08061325838864652
E00005687,352,0.08063071148728075
E00004530,27,0.0807934436502475
E00016045,377,0.08098141495556521
E00012813,261,0.08102054942076117
E00171546,339,0.08104628108198014
E00166755,197,0.08108019968513733
E00015161,224,0.08124586694369451
E00019994,323,0.08133096324225562
E00021732,236,0.08133456895215485
E00021158,41,0.0817645031916716
E00009709,113,0.08176961767626913
E00021162,221,0.08178331159586355
E00020004,329,0.08201987964614371
E00176259,78,0.08208013939968094
E00008615,312,0.08217641068765992
E00176289,76,0.08218714371754846
E00015490,383,0.08235085239130245
E00020109,157,0.08246433803941003
E00021169,81,0.0825765354999079
E00176282,85,0.08270088807832102
E00008280,386,0.0828481757170797
E00013426,188,0.08304068370383762
E00017934,167,0.08308543090194401
E00013516,147,0.08309130032365691
E00017915,171,0.08325327654068623
E00013341,266,0.08364505469161833
E00006506,52,0.08381510447577534
E00022355,181,0.08383627743610854
E00020137,339,0.08401068385729477
E00020110,155,0.0841350082607221
E00005702,348,0.08416297060498446
E00006877,75,0.08431326548753668
E00004929,356,0.08444408423117614
E00009629,109,0.08447023441627863
E00005697,350,0.08462870163319036
E00004225,292,0.08481256772159783
E00020111,326,0.08483663756100654
E00019962,161,0.0848503065064096
E00015654,216,0.085034032972143
E00020003,161,0.08515822357911491
E00005655,347,0.08523962458999261
E00176283,85,0.08527196574176643
E00020736,278,0.08555203537611959
E00004867,357,0.08590172905431293
E00013539,142,0.08614808628594511
E00008840,81,0.08623312341769726
E00015822,366,0.0862787802486164
E00009629,110,0.08636456272895224
E00020109,155,0.0865995004252974
E00015228,372,0.08674042806750187
E00013541,145,0.08684981050140943
E00022365,180,0.08695314238790343
E00002545,310,0.08703175564849475
E00009630,110,0.08703910997323774
E00022348,403,0.08707074390161774
E00021699,239,0.08713644919669368
E00005676,345,0.08716874988502228
E00012828,119,0.08717640638448762
E00008930,231,0.08726357764828381
E00167172,222,0.08730926086490094
E00013462,190,0.08740665034047138
E00015246,369,0.08742372504613283
E00000020,183,0.0874659175632842
E00006005,68,0.08760313554533206
E00006946,96,0.08775724129970508
E00017910,174,0.08781691289994029
E00004523,298,0.08785237888673615
E00021804,175,0.0880532713692181
E00022369,402,0.0881244744111945
E00016609,125,0.08815729418686902
E00020116,153,0.08818665289907014
E00009710,113,0.08821015547041788
E00012848,117,0.08845912220919311
E00013454,191,0.08847081230737533
E00006142,44,0.08848893360781308
E00024133,21,0.08860707801395577
E00013980,132,0.08900574750252156
E00015173,325,0.08947520826750285
E00004523,302,0.08951204450312994
E00019927,329,0.08958721202134151
E00015668,326,0.08962749273241952
E00021725,237,0.08966824270587517
E00017144,405,0.09009021302089103
E00020072,337,0.09014440591793207
E00019960,328,0.09023074030919498
E00008879,84,0.0907431259563327
E00176283,86,0.09089981267984158
E00006505,51,0.09110821519577796
E00006162,48,0.09159614988759739
E00015388,380,0.09173329840195375
E00015652,218,0.09177870853910919
E00016395,390,0.09178481790666906
E00020106,156,0.0918075619449859
E00004526,298,0.09191509937248338
E00006254,49,0.09215683832975376
E00022364,404,0.09219125044951354
E00024133,27,0.09223846575185901
E00000001,187,0.09231974996159453
E00006852,270,0.09238074694078592
E00016597,129,0.09256167172352885
E00023959,340,0.09258412270051908
E00020004,161,0.09279655688736804
E00000013,186,0.09284088698977755
E00013521,227,0.09285829843072259
E00020110,156,0.09296011273333536
E00016030,370,0.09296881894519464
E00005688,353,0.09307394438483083
E00015433,373,0.09319557929854112
E00015815,363,0.09321600664751388
E00000017,187,0.09321783678248483
E00022186,399,0.09325378972861825
E00166755,252,0.0935114443571053
E00023845,5,0.09366253019067594
E00020138,339,0.09387964997397079
E00176249,80,0.09399579978104051
E00022730,408,0.09410629093295302
E00004247,290,0.0943129293952376
E00008905,84,0.09445964576323805
E00021160,221,0.09477527737527121
E00015492,382,0.09510154850054488
E00021151,222,0.09524796076475774
E00009048,77,0.09553815189191145
E00000030,212,0.09564535856408525
E00015172,325,0.09585508552388486
E00020113,160,0.0960024230404385
E00008711,76,0.09610088162404026
E00006867,63,0.0961241307451806
E00175192,9,0.0964298829282774
E00015695,339,0.09643571072288286
E00000013,184,0.09653802389843005
E00168881,266,0.0966002455477522
E00010675,114,0.09660442280562125
E00016080,216,0.09685677918199982
E00008772,82,0.09685928843586472
E00022094,182,0.09686554266726012
E00013371,120,0.09708192013421918
