startid,endid,routedist
E00020004,161,0.128958
E00000013,186,0.299344
E00013521,227,0.191989
E00020110,156,0.11488
E00016030,370,0.111349
E00005688,353,0.104798
E00015433,373,0.121322
E00015815,363,0.180905
E00000017,187,0.114664
E00022186,399,0.111446
E00166755,252,0.10871800000000001
E00023845,5,0.207485
E00020138,339,0.093044
E00176249,80,0.6120990000000001
E00022730,408,0.480607
E00004247,290,0.153863
E00008905,84,0.092106
E00021160,221,0.120124
E00015492,382,0.11918000000000001
E00021151,222,0.214521
E00009048,77,0.252094
E00000030,212,0.219099
E00015172,325,0.136951
E00020113,160,0.185857
E00008711,76,0.131608
E00006867,63,0.144293
E00175192,9,0.13440000000000002
E00015695,339,0.10353
E00000013,184,0.303265
E00168881,266,0.143191
E00010675,114,0.13264599999999999
E00016080,216,0.098788
E00008772,82,0.123318
E00022094,182,0.120595
E00013371,120,0.197999
E00013349,271,0.119711
E00021786,169,0.173954
E00013978,149,0.13666999999999999
E00004709,295,0.120318
E00004702,294,0.137243
E00015415,373,0.107817
E00021163,233,0.141572
E00004710,296,0.12901400000000002
E00013341,268,0.219952
E00020468,336,0.349497
E00006895,59,0.172821
E00167687,318,0.098356
E00019996,323,0.6051259999999999
E00023933,25,0.123811
E00023933,341,0.123811
E00015823,366,0.100152
E00024134,11,0.09743399999999999
E00016619,126,0.20594300000000001
E00013348,271,0.14483000000000001
E00166842,405,0.13208799999999998
E00005702,349,0.24682900000000002
E00013542,146,0.140225
E00012754,273,0.202314
E00166755,256,0.119071
E00013462,188,0.10300100000000001
E00015434,375,0.125832
E00004554,281,0.135919
E00004529,298,0.106328
E00019793,325,0.099271
E00006510,72,0.100104
E00008732,311,0.13481200000000002
E00004253,290,0.115091
E00006270,47,0.130962
E00020465,336,0.190649
E00176279,79,0.127131
E00013547,137,0.14157599999999998
E00021035,275,0.119292
E00008803,93,0.226433
E00013380,259,0.22702099999999997
E00019962,329,0.10359600000000001
E00176319,42,0.11828
E00021153,41,0.160917
E00015821,366,0.16104
E00021161,34,0.15302600000000002
E00013966,134,0.11687
E00018226,163,0.12993100000000002
E00168881,268,0.12985
E00013522,227,0.1019
E00012758,262,0.10766200000000001
E00006475,51,0.135969
E00019729,332,0.422203
E00006241,67,0.119828
E00020102,156,0.26409
E00176321,77,0.208385
E00020113,330,0.172594
E00016605,123,0.09866
E00013512,146,0.287134
E00013981,132,0.15823500000000001
E00006878,63,0.09868500000000001
E00021164,232,0.11154
E00003041,307,0.19507400000000003
E00008270,129,0.211481
E00008611,231,0.125584
E00006941,95,0.09856999999999999
E00006515,72,0.122597
E00005990,54,0.18253999999999998
E00006475,61,0.14227
E00013527,143,0.133168
E00015386,380,0.115927
E00174036,246,0.109817
E00024110,17,0.14532599999999998
E00013509,146,0.10359
E00006508,73,0.099371
E00004206,287,0.126154
E00004538,291,0.137172
E00024136,11,0.167123
E00019726,332,0.11626099999999999
E00017914,174,0.15181299999999998
E00020107,327,0.161586
E00005678,346,0.161798
E00167491,159,0.13320500000000002
E00020130,150,0.170016
E00020065,338,0.14616800000000002
E00016059,371,0.109133
E00009711,112,0.20635599999999998
E00005943,344,0.129454
E00006893,46,0.147414
E00006877,57,0.17761600000000002
E00016027,371,0.130168
E00176263,86,0.173018
E00021707,234,0.301887
E00005931,355,0.366962
E00017913,171,0.20445
E00008839,79,0.14606
E00021700,239,0.142364
E00007597,100,0.093095
E00009628,110,0.142549
E00006505,70,0.175167
E00019989,323,0.096121
E00006917,96,0.163223
E00176226,230,0.246822
E00008618,312,0.445172
E00007787,107,0.15312399999999998
E00008935,230,0.134903
E00023843,7,0.136743
E00002898,308,0.2849
E00013343,265,0.116288
E00008175,40,0.17868
E00006288,47,0.157628
E00018254,165,0.14126499999999997
E00006508,55,0.171558
E00013432,188,0.187608
E00013341,269,0.23860800000000001
E00023959,301,0.235822
E00020112,326,0.11101699999999999
E00000012,189,0.223659
E00020123,152,0.120332
E00008823,92,0.457144
E00020833,280,0.20475100000000002
E00015414,376,0.147394
E00016593,121,0.299608
E00174721,307,0.10702800000000001
E00009631,111,0.26081400000000005
E00019968,329,0.107896
E00009625,109,0.16209
E00021167,232,0.17131800000000003
E00174706,310,0.221175
E00015702,339,0.153005
E00013549,136,0.249329
E00166843,405,0.145594
E00013458,191,0.15018600000000001
E00023959,304,0.23431100000000002
E00176336,312,0.164138
E00022360,404,0.148763
E00015815,364,0.153608
E00020105,157,0.180552
E00016600,122,0.277469
E00167687,317,0.184581
E00009629,111,0.11021299999999999
E00009705,112,0.10881199999999999
E00000016,186,0.29394
E00006946,95,0.197939
E00005678,345,0.170739
E00020108,157,0.146345
E00023506,6,0.17638
E00015425,374,0.151763
E00013994,133,0.143631
E00176300,43,0.177571
E00007784,105,0.152397
E00019964,158,0.33044
E00008773,43,0.203054
E00166759,187,0.25073
E00014951,223,0.2093
E00166758,184,0.240543
E00020120,152,0.169975
E00008839,80,0.13348
E00168883,264,0.16897
E00012826,120,0.278885
E00020466,335,0.115657
E00020500,322,0.137751
